Key,Summary,Description,Issue Type,Priority,Status,Assignee,Reporter,Created,Updated
T-001,서버 접속 불가 문제,메인 서버에 접속이 되지 않습니다. HTTP 500 오류가 발생하고 있습니다.,Bug,High,Open,김개발,이사용,2024-01-15,2024-01-15
T-002,NCMSAPI 0100 자료 요청,NCMSAPI 0100 관련 자료를 요청드립니다. 프로젝트 진행을 위해 필요합니다.,Task,Medium,Open,박매니저,조주연,2024-01-16,2024-01-16
T-003,데이터베이스 성능 최적화,데이터베이스 쿼리 성능이 느려서 최적화가 필요합니다.,Improvement,High,In Progress,최DBA,김분석,2024-01-17,2024-01-17
T-004,사용자 인증 시스템 오류,로그인 시 간헐적으로 인증이 실패하는 문제가 발생합니다.,Bug,High,Open,정보안,이사용,2024-01-18,2024-01-18
T-005,API 문서 업데이트,새로운 API 엔드포인트에 대한 문서를 작성해야 합니다.,Task,Low,Open,문문서,김개발,2024-01-19,2024-01-19
T-006,모바일 앱 크래시,안드로이드 앱에서 특정 화면 진입 시 앱이 종료됩니다.,Bug,Critical,Open,안모바일,박테스트,2024-01-20,2024-01-20
T-007,보안 취약점 패치,OWASP Top 10에 해당하는 보안 취약점을 수정해야 합니다.,Bug,High,In Progress,정보안,김보안,2024-01-21,2024-01-21
T-008,데이터 백업 시스템 구축,중요 데이터의 자동 백업 시스템을 구축해야 합니다.,Task,Medium,Open,최DBA,이관리,2024-01-22,2024-01-22
T-009,UI/UX 개선 요청,사용자 인터페이스가 직관적이지 않아 개선이 필요합니다.,Improvement,Medium,Open,디자이너,김사용,2024-01-23,2024-01-23
T-010,성능 모니터링 도구 설치,시스템 성능을 실시간으로 모니터링할 수 있는 도구를 설치해야 합니다.,Task,Low,Open,김개발,박운영,2024-01-24,2024-01-24
